Rectangular Tag Number,ROUND Silver ORS Tag Number,Duplicated on ORS steward info sheet 10/13/2022,Currently On-Site ,ORS Location,Borough,Waterbody,Coordinates ,Site ID,LCP Permit Status,Last Rapid Visual Assessment Conducted,Last Monitoring Date,Active cage ,1. Broodstock Source,1. Spat Set Date,1. Distribution Date (Installation),2. Broodstock Source,2. Spat Set Date,2. Distribution Date (Installation),3. Broodstock Source,3. Spat Set Date,3. Distribution Date (installation),4. Broodstock Source,4. Spat Set Date,4. Distribution Date (installation),2021,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Feb - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA,2022,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Mar - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA,2023,Jan - Monitoring,Jan- RVA,Feb - Monitoring,Feb- RVA,March - Monitoring,Mar - RVA,April,April- RVA,May,May- RVA,June,June- RVA,July,July- RVA,August,Aug- RVA,September,Sept- RVA,October,Oct- RVA,November,Nov- RVA,December,Dec- RVA
,145A,Y,NO,Bush Terminals Park,Brooklyn,Bay ridge Flats,"40.654248, -74.020323",,,,3/9/2021,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,145B,Y,NO,Bush Terminals Park,,Bay ridge Flats,"40.654248, -74.020323",,,,3/9/2021,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,-,,NO,Canarsie Pier,Brooklyn,Jamaica Bay,"40.627893, -73.883207",,Working to Reactive,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,-,,NO,"Clason Point Park, Bronx",Bronx,East River,"40.804746, -73.848890",,Working to Reactive,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,286,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,10/24/2021,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,287,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,10/24/2021,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,288,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,10/24/2021,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,295,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,10/24/2021,,MB,7/1/2017,9/12/2019,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,296,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,,,MB,7/1/2017,9/12/2019,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,352,Y,NO,Concrete Plant Park,Bronx,Bronx River,"40.825680, -73.884811",,Working to Reactive,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
