location,tag_number,distribution_a,broodstock_a,distribution_b,broodstock_b,distribution_c,broodstock_c,distribution_d,broodstock_d
East 90th St. Ferry Terminal ,391,,,,,,,,
Valentino Pier ,392,,,,,,,,
Erie Basin ,398,,,,,,,,
Erie Basin ,399,,,,,,,,
Erie Basin ,400,,,,,,,,
"Hudson River Park, Pier 84",440,8/13/2021,CCE,,,,,,
"Hudson River Park, Pier 84",441,,,,,,,,
"Hudson River Park, Pier 84",442,,,,,,,,
"Hudson River Park, Pier 84",443,,,,,,,,
Domino Park (S. 3rd St),444,,,,,,,,
Domino Park (S. 3rd St),445,,,,,,,,
Domino Park (S. 3rd St),446,,,,,,,,
Domino Park (S. 3rd St),447,6/2/2020,SUNY,,,,,,
Domino Park (S. 3rd St),448,8/21/2020,CCE,,,,,,
Lower East Side Ecology Center,449,,,,,,,,
Lower East Side Ecology Center,450,,,,,,,,
Pier 101 Governor's Island,503,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,504,6/8/2018,EB,,,,,,
City Island Yacht Club,540,8/25/2021,MB?,,,,,,
Pier 101 Governor's Island,540,6/8/2018,EB,,,,,,
Pier 101 Governor's Island,540,6/8/2018,EB,,,,,,
Tier St. Pier,540,8/25/2021,MB,,,,,,
City Island Yacht Club,545,8/25/2021,MB,,,,,,
Tier St. Pier,545,8/25/2021,MB,,,,,,
City Island Yacht Club,546,8/25/2021,MB,,,,,,
Tier St. Pier,546,8/25/2021,MB,,,,,,
East 90th St. Ferry Terminal ,599,9/14/2021,,,,,,,
"Hudson River Park, Pier 66",??,,,,,,,,
"Hudson River Park, Pier 84",cannot be found,,,,,,,,
"Battery Park, Pier A",NO TAG,,,,,,,,
Center for the Urban River at Beczak,no tag,10/26/2017,FI ,,,,,,
Gowanus Sponge Park,no tag,11/8/2018,,,,,,,
Lower East Side Ecology Center,no tag,10/4/2017,FI,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Peter J. Sharp Boathouse: Swindler Cove,no tag,,,,,,,,
Richmond County Yacht Club,no tag,5/11/2018,MB,,,,,,
Sebago Canoe Club,no tag,11/4/2019,MB,,,,,,
Sebago Canoe Club,no tag,11/9/2017,MB ,,,,,,
Tarrytown Marina,no tag,12/12/2016,,,,,,,
Vernon Boulevard,no tag,,,,,,,,
Bushwick Inlet,TAG # TK,,Cornell,,,,,,
